"Unidade.da.Federa�.�.o","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008"
"Rondônia","513,04","551,30","482,18","501,13","531,55","578,56","539,47","573,70"
"Acre","618,51","603,70","504,81","405,38","422,79","510,85","529,08","520,71"
"Amazonas","439,19","417,79","397,31","389,29","421,36","440,01","444,10","475,56"
"Roraima","473,38","409,74","448,92","328,37","381,98","524,53","464,19","562,05"
"Pará","413,99","431,97","361,52","380,09","375,02","404,09","441,66","457,60"
"Amapá","540,96","445,10","466,59","395,07","491,78","473,23","500,64","480,35"
"Tocantins","412,81","369,52","385,99","422,79","423,24","462,42","504,69","575,05"
"Maranhão","273,38","275,78","268,36","295,77","263,43","356,22","350,87","360,99"
"Piauí","303,32","324,55","294,96","316,87","333,13","394,20","437,89","446,98"
"Ceará","338,77","332,68","304,49","326,23","351,24","373,80","388,86","436,99"
"Rio Grande do Norte","374,73","379,15","340,13","374,29","445,42","458,65","483,32","519,82"
"Paraíba","326,34","361,95","330,73","359,22","398,61","434,96","458,29","491,66"
"Pernambuco","369,52","373,27","321,23","369,58","379,82","417,08","408,50","448,85"
"Alagoas","294,76","292,76","288,43","275,07","292,67","384,65","412,20","394,37"
"Sergipe","348,85","371,23","382,86","416,51","409,66","454,62","464,86","483,84"
"Bahia","332,13","335,58","324,29","333,95","360,33","406,89","417,38","460,51"
"Minas Gerais","538,95","550,50","518,41","546,93","581,89","650,04","660,76","713,18"
"Espírito Santo","562,54","607,52","547,49","594,71","630,20","665,47","694,11","724,62"
"Rio de Janeiro","829,70","818,01","790,40","809,49","826,48","924,90","902,27","954,39"
"São Paulo","877,93","864,71","798,67","783,05","864,82","928,65","941,87","960,21"
"Paraná","657,18","664,23","649,05","715,37","724,71","768,22","861,40","853,57"
"Santa Catarina","739,04","709,13","741,50","734,29","811,36","899,01","918,49","949,65"
"Rio Grande do Sul","744,57","735,13","724,09","749,24","757,25","819,18","830,49","895,82"
"Mato Grosso do Sul","591,72","620,42","566,04","569,45","608,00","689,80","793,78","757,81"
"Mato Grosso","585,52","604,48","526,64","594,92","580,56","633,80","621,50","788,59"
"Goiás","553,32","566,84","526,31","584,94","617,76","637,47","706,94","734,01"
"Distrito Federal","1118,71","1195,75","1095,35","1117,80","1215,74","1350,02","1491,24","1528,67"
"Total","608,43","608,75","573,29","585,67","621,11","678,87","696,50","730,25"
