 B.8 Renda média domiciliar per capita
Renda média domic. per capita por Unidade da Federação e Ano
Período:2001-2008
"Unidade da Federação";"2001";"Informações Estatísticas";"2002";"Informações Estatísticas";"2003";"Informações Estatísticas";"2004";"Informações Estatísticas";"2005";"Informações Estatísticas";"2006";"Informações Estatísticas";"2007";"Informações Estatísticas";"2008";"Informações Estatísticas"
"Rondônia";513,04;IC=(447,49-578,58);551,30;IC=(479,78-622,83);482,18;IC=(421,78-542,59);501,13;IC=(444,16-558,10);531,55;IC=(457,69-605,41);578,56;IC=(510,66-646,46);539,47;IC=(486,67-592,27);573,70;IC=(514,50-632,90)
"Acre";618,51;IC=(472,03-765,00);603,70;IC=(452,83-754,56);504,81;IC=(398,18-611,43);405,38;IC=(333,88-476,88);422,79;IC=(346,52-499,05);510,85;IC=(421,39-600,32);529,08;IC=(422,80-635,36);520,71;IC=(446,18-595,25)
"Amazonas";439,19;IC=(369,82-508,56);417,79;IC=(358,16-477,41);397,31;IC=(342,48-452,14);389,29;IC=(341,78-436,81);421,36;IC=(372,87-469,84);440,01;IC=(387,56-492,46);444,10;IC=(382,57-505,63);475,56;IC=(432,72-518,40)
"Roraima";473,38;IC=(354,76-592,01);409,74;IC=(309,83-509,65);448,92;IC=(381,95-515,88);328,37;IC=(268,16-388,59);381,98;IC=(300,03-463,92);524,53;IC=(409,68-639,37);464,19;IC=(375,69-552,69);562,05;IC=(437,03-687,07)
"Pará";413,99;IC=(377,54-450,45);431,97;IC=(386,78-477,15);361,52;IC=(329,39-393,65);380,09;IC=(330,78-429,40);375,02;IC=(334,09-415,96);404,09;IC=(372,18-436,01);441,66;IC=(406,13-477,20);457,60;IC=(426,72-488,49)
"Amapá";540,96;IC=(419,48-662,44);445,10;IC=(344,28-545,93);466,59;IC=(362,25-570,92);395,07;IC=(323,05-467,09);491,78;IC=(382,81-600,76);473,23;IC=(397,87-548,60);500,64;IC=(422,19-579,10);480,35;IC=(411,49-549,21)
"Tocantins";412,81;IC=(317,47-508,15);369,52;IC=(299,02-440,03);385,99;IC=(307,10-464,87);422,79;IC=(355,55-490,03);423,24;IC=(364,88-481,60);462,42;IC=(387,35-537,49);504,69;IC=(445,96-563,42);575,05;IC=(495,72-654,38)
"Maranhão";273,38;IC=(224,89-321,87);275,78;IC=(220,23-331,34);268,36;IC=(208,40-328,31);295,77;IC=(214,85-376,70);263,43;IC=(217,05-309,81);356,22;IC=(256,07-456,36);350,87;IC=(282,32-419,42);360,99;IC=(302,57-419,41)
"Piauí";303,32;IC=(226,56-380,07);324,55;IC=(217,22-431,88);294,96;IC=(217,71-372,20);316,87;IC=(226,81-406,92);333,13;IC=(241,14-425,13);394,20;IC=(281,02-507,38);437,89;IC=(307,97-567,80);446,98;IC=(340,85-553,10)
"Ceará";338,77;IC=(306,16-371,38);332,68;IC=(305,51-359,86);304,49;IC=(281,37-327,60);326,23;IC=(300,32-352,14);351,24;IC=(322,25-380,22);373,80;IC=(347,53-400,06);388,86;IC=(360,60-417,12);436,99;IC=(407,27-466,71)
"Rio Grande do Norte";374,73;IC=(319,44-430,02);379,15;IC=(311,92-446,37);340,13;IC=(284,08-396,18);374,29;IC=(309,78-438,79);445,42;IC=(369,36-521,48);458,65;IC=(394,49-522,82);483,32;IC=(409,11-557,53);519,82;IC=(453,05-586,59)
"Paraíba";326,34;IC=(244,47-408,21);361,95;IC=(256,20-467,69);330,73;IC=(246,63-414,84);359,22;IC=(255,50-462,94);398,61;IC=(288,56-508,67);434,96;IC=(339,27-530,65);458,29;IC=(328,39-588,19);491,66;IC=(377,65-605,68)
"Pernambuco";369,52;IC=(338,64-400,41);373,27;IC=(339,22-407,31);321,23;IC=(296,68-345,78);369,58;IC=(337,83-401,34);379,82;IC=(349,51-410,13);417,08;IC=(384,98-449,18);408,50;IC=(377,91-439,10);448,85;IC=(415,74-481,95)
"Alagoas";294,76;IC=(233,70-355,82);292,76;IC=(227,46-358,06);288,43;IC=(224,15-352,71);275,07;IC=(227,16-322,99);292,67;IC=(244,66-340,67);384,65;IC=(296,76-472,53);412,20;IC=(322,00-502,39);394,37;IC=(321,39-467,36)
"Sergipe";348,85;IC=(285,86-411,85);371,23;IC=(306,98-435,47);382,86;IC=(313,31-452,41);416,51;IC=(348,89-484,13);409,66;IC=(355,09-464,22);454,62;IC=(384,57-524,67);464,86;IC=(406,33-523,39);483,84;IC=(424,54-543,14)
"Bahia";332,13;IC=(308,77-355,48);335,58;IC=(311,34-359,82);324,29;IC=(297,28-351,29);333,95;IC=(312,77-355,12);360,33;IC=(339,70-380,96);406,89;IC=(380,33-433,44);417,38;IC=(391,75-443,00);460,51;IC=(429,75-491,28)
"Minas Gerais";538,95;IC=(511,37-566,53);550,50;IC=(521,97-579,03);518,41;IC=(490,73-546,09);546,93;IC=(516,33-577,53);581,89;IC=(553,81-609,97);650,04;IC=(617,59-682,49);660,76;IC=(627,05-694,47);713,18;IC=(677,81-748,55)
"Espírito Santo";562,54;IC=(476,08-649,00);607,52;IC=(520,80-694,25);547,49;IC=(475,02-619,96);594,71;IC=(522,93-666,49);630,20;IC=(547,54-712,86);665,47;IC=(578,79-752,14);694,11;IC=(606,29-781,94);724,62;IC=(637,04-812,19)
"Rio de Janeiro";829,70;IC=(770,35-889,05);818,01;IC=(766,28-869,74);790,40;IC=(738,35-842,45);809,49;IC=(758,37-860,61);826,48;IC=(773,86-879,09);924,90;IC=(856,89-992,91);902,27;IC=(839,82-964,71);954,39;IC=(900,31-1.008,47)
"São Paulo";877,93;IC=(832,10-923,76);864,71;IC=(818,77-910,66);798,67;IC=(759,39-837,95);783,05;IC=(747,29-818,81);864,82;IC=(822,47-907,17);928,65;IC=(884,38-972,93);941,87;IC=(899,58-984,17);960,21;IC=(916,31-1.004,11)
"Paraná";657,18;IC=(604,19-710,17);664,23;IC=(617,04-711,43);649,05;IC=(596,55-701,54);715,37;IC=(657,84-772,90);724,71;IC=(671,45-777,97);768,22;IC=(716,07-820,38);861,40;IC=(796,62-926,17);853,57;IC=(797,58-909,56)
"Santa Catarina";739,04;IC=(652,49-825,59);709,13;IC=(635,21-783,05);741,50;IC=(665,32-817,69);734,29;IC=(666,84-801,75);811,36;IC=(736,94-885,79);899,01;IC=(812,21-985,81);918,49;IC=(815,76-1.021,22);949,65;IC=(861,64-1.037,65)
"Rio Grande do Sul";744,57;IC=(701,58-787,56);735,13;IC=(690,41-779,85);724,09;IC=(680,71-767,46);749,24;IC=(709,37-789,11);757,25;IC=(719,30-795,20);819,18;IC=(779,02-859,34);830,49;IC=(786,13-874,85);895,82;IC=(850,45-941,19)
"Mato Grosso do Sul";591,72;IC=(496,35-687,10);620,42;IC=(523,40-717,43);566,04;IC=(480,14-651,95);569,45;IC=(490,80-648,09);608,00;IC=(528,37-687,64);689,80;IC=(593,94-785,65);793,78;IC=(669,26-918,30);757,81;IC=(656,00-859,62)
"Mato Grosso";585,52;IC=(487,81-683,22);604,48;IC=(522,10-686,86);526,64;IC=(455,68-597,60);594,92;IC=(514,34-675,51);580,56;IC=(498,39-662,74);633,80;IC=(536,49-731,12);621,50;IC=(536,96-706,03);788,59;IC=(648,95-928,22)
"Goiás";553,32;IC=(500,72-605,93);566,84;IC=(517,80-615,88);526,31;IC=(486,97-565,65);584,94;IC=(521,77-648,11);617,76;IC=(542,34-693,18);637,47;IC=(591,52-683,42);706,94;IC=(642,78-771,10);734,01;IC=(684,48-783,53)
"Distrito Federal";1118,71;IC=(968,08-1.269,34);1195,75;IC=(1.025,22-1.366,29);1095,35;IC=(944,86-1.245,83);1117,80;IC=(967,58-1.268,02);1215,74;IC=(1.065,01-1.366,47);1350,02;IC=(1.182,60-1.517,44);1491,24;IC=(1.301,05-1.681,43);1528,67;IC=(1.339,49-1.717,85)
"Total";608,43;IC=(594,76-622,10);608,75;IC=(595,12-622,38);573,29;IC=(561,02-585,57);585,67;IC=(573,63-597,70);621,11;IC=(608,19-634,02);678,87;IC=(664,66-693,08);696,50;IC=(682,30-710,70);730,25;IC=(716,47-744,02)
 Fonte: Pesquisa Nacional por Amostra de Domicílios - PNAD 2001-2009, 2011-2012
 Notas:
 
 Os valores da renda média domicilar per capita é corrigido para todos os anos anteriores com base no INPC de setembro do último ano da série (2012).
 O valor de referência, salário mínimo de 2012, é de R$ 622,00.
 Informações da PNAD não disponíveis, até o ano de 2003, para as áreas rurais de RO, AC, AM, RR, PA e AP.
 Por se tratar de uma pesquisa amostral, o valor do indicador pode não ter significância estatística quando desagregado para segmentos
 populacionais específicos, tais como indígenas, amarelos e pretos, pois estes grupos são muito pequenos em alguns estados e regiões.
 Nas tabulações por cor/raça, estão suprimidos os casos sem declaração de cor/raça.
 Os valores das PNAD 2001 a 2012 estão ponderados considerando os pesos amostrais disponibilizados após a publicação do Censo 2010.
 
